DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft
1935-02-01,Bendorf,1935,2,26.404548520767083,0.0
1936-02-01,Bendorf,1936,2,32.009255688391825,0.0
1932-02-01,Bensberg,1932,2,47.79937124892827,0.0
1933-02-01,Bensberg,1933,2,29.531568228105908,0.0
1934-02-01,Bensberg,1934,2,20.350980681315438,0.0
1935-02-01,Bensberg,1935,2,17.405719021964362,0.0
1936-02-01,Bensberg,1936,2,25.498281786941583,0.0
1932-02-01,Bensheim,1932,2,45.90163934426229,0.0
1933-02-01,Bensheim,1933,2,28.650558685894374,0.0
1934-02-01,Bensheim,1934,2,17.817371937639198,0.0
1935-02-01,Bensheim,1935,2,28.984165200481527,0.0
1936-02-01,Bensheim,1936,2,38.61111111111111,0.0
1932-02-01,Berg.-Gladbach,1932,2,61.305445366029566,0.0
1933-02-01,Berg.-Gladbach,1933,2,51.244802885337876,0.0
1934-02-01,Berg.-Gladbach,1934,2,30.526109148017273,0.0
1935-02-01,Berg.-Gladbach,1935,2,22.58726899383984,0.0
1936-02-01,Berg.-Gladbach,1936,2,35.76488982264132,0.0
1932-02-01,Bergedorf,1932,2,61.797139425701495,0.0
1933-02-01,Bergedorf,1933,2,42.939936775553214,0.0
1934-02-01,Bergedorf,1934,2,51.34260923140114,0.0
1935-02-01,Bergedorf,1935,2,38.827501534683854,0.0
1936-02-01,Bergedorf,1936,2,32.2993447993448,0.0
1932-02-01,Bernau,1932,2,92.68733072524827,0.0
1933-02-01,Bernau,1933,2,67.70693211371177,0.0
1934-02-01,Bernau,1934,2,42.282771224455885,0.0
1935-02-01,Bernau,1935,2,36.93559096945551,0.0
1936-02-01,Bernau,1936,2,24.91280518186348,0.0
1932-02-01,Bernburg,1932,2,43.19827538555083,0.0
1933-02-01,Bernburg,1933,2,29.369282619162252,0.0
1934-02-01,Bernburg,1934,2,20.0062682824906,0.0
1935-02-01,Bernburg,1935,2,24.00750723353231,0.0
1936-02-01,Bernburg,1936,2,16.41838019303399,0.0
1932-02-01,Beuel,1932,2,57.48928608759277,0.0
1933-02-01,Beuel,1933,2,32.49820310093439,0.0
1934-02-01,Beuel,1934,2,18.392784758816376,0.0
1935-02-01,Beuel,1935,2,29.101856497742098,0.0
1936-02-01,Beuel,1936,2,29.50474183350896,0.0
1932-02-01,Beuthen,1932,2,47.30141570733615,0.0
1933-02-01,Beuthen,1933,2,30.406701624248626,0.0
1934-02-01,Beuthen,1934,2,25.044451628546028,0.0
1935-02-01,Beuthen,1935,2,27.42683193728736,0.0
1936-02-01,Beuthen,1936,2,24.593265228906546,0.0
1932-02-01,Biberach,1932,2,39.79703512088349,0.0
1933-02-01,Biberach,1933,2,27.560594214229866,0.0
1934-02-01,Biberach,1934,2,16.205266711681297,0.0
1935-02-01,Biberach,1935,2,15.61653728109767,0.0
1936-02-01,Biberach,1936,2,13.777577667717246,0.0
1932-02-01,Bielefeld,1932,2,68.39917749485934,0.0
1933-02-01,Bielefeld,1933,2,39.91530806690663,0.0
1934-02-01,Bielefeld,1934,2,26.81982831340247,0.0
1935-02-01,Bielefeld,1935,2,27.706660701117713,0.0
1936-02-01,Bielefeld,1936,2,25.69764941359403,0.0
1932-02-01,Billstedt,1932,2,95.59456203751506,0.0
1933-02-01,Billstedt,1933,2,68.32399057600131,0.0
1934-02-01,Billstedt,1934,2,17.309941520467838,0.0
1935-02-01,Billstedt,1935,2,60.389105058365764,0.0
1936-02-01,Billstedt,1936,2,51.90554126724339,0.0
1932-02-01,Bingen,1932,2,26.4963503649635,0.0
1933-02-01,Bingen,1933,2,16.246136151247214,0.0
1934-02-01,Bingen,1934,2,4.690831556503198,0.0
1935-02-01,Bingen,1935,2,20.398045187336212,0.0
1936-02-01,Bingen,1936,2,30.804173468663496,0.0
1932-02-01,Bitterfeld,1932,2,37.50193708352704,0.0
1933-02-01,Bitterfeld,1933,2,25.895931332137142,0.0
1934-02-01,Bitterfeld,1934,2,13.585570547595864,0.0
1935-02-01,Bitterfeld,1935,2,14.563786584511972,0.0
1936-02-01,Bitterfeld,1936,2,7.3718098259693,0.0
1932-02-01,Blankenburg,1932,2,60.894780447390225,0.0
1933-02-01,Blankenburg,1933,2,30.039840637450197,0.0
1934-02-01,Blankenburg,1934,2,5.499612703330751,0.0
1935-02-01,Blankenburg,1935,2,19.705584547083106,0.0
1936-02-01,Blankenburg,1936,2,18.318459370596525,0.0
1932-02-01,Blumenthal,1932,2,70.81076711664376,0.0
1933-02-01,Blumenthal,1933,2,34.784594306591565,0.0
1934-02-01,Blumenthal,1934,2,23.40844454167578,0.0
1935-02-01,Blumenthal,1935,2,18.907869762009053,0.0
1936-02-01,Blumenthal,1936,2,14.301349872309375,0.0
1932-02-01,Bobrek,1932,2,35.49899531145345,0.0
1933-02-01,Bobrek,1933,2,22.55198231924586,0.0
1934-02-01,Bobrek,1934,2,12.225605599236468,0.0
1935-02-01,Bobrek,1935,2,12.500568207645802,0.0
1936-02-01,Bobrek,1936,2,13.903403153255486,0.0
1932-02-01,Bocholt,1932,2,62.70856047840882,0.0
1933-02-01,Bocholt,1933,2,40.04982871379632,0.0
1934-02-01,Bocholt,1934,2,17.884334039948648,0.0
1935-02-01,Bocholt,1935,2,14.067751241709544,0.0
1936-02-01,Bocholt,1936,2,18.99035599476128,0.0
1932-02-01,Bochum,1932,2,50.29465037373403,0.0
1933-02-01,Bochum,1933,2,27.404580152671755,0.0
1934-02-01,Bochum,1934,2,15.650495546116582,0.0
1935-02-01,Bochum,1935,2,13.796230531175485,0.0
1936-02-01,Bochum,1936,2,13.999878484380446,0.0
1932-02-01,Bonn,1932,2,43.89672389628591,0.0
1933-02-01,Bonn,1933,2,28.731362804080565,0.0
1934-02-01,Bonn,1934,2,22.428335645358903,0.0
1935-02-01,Bonn,1935,2,27.992317023857662,0.0
1936-02-01,Bonn,1936,2,28.481620359608254,0.0
1932-02-01,Borna,1932,2,45.40481400437637,0.0
1933-02-01,Borna,1933,2,30.22735101619015,0.0
1934-02-01,Borna,1934,2,15.627583925913676,0.0
1935-02-01,Borna,1935,2,21.20141342756184,0.0
1936-02-01,Borna,1936,2,26.03490552430405,0.0
1932-02-01,Bottrop,1932,2,57.59729354783751,0.0
1933-02-01,Bottrop,1933,2,33.9500308744597,0.0
1934-02-01,Bottrop,1934,2,26.334818408714515,0.0
1935-02-01,Bottrop,1935,2,34.95731955171012,0.0
1936-02-01,Bottrop,1936,2,38.79335301951248,0.0
1932-02-01,Brackwede,1932,2,88.50372603198527,0.0
1933-02-01,Brackwede,1933,2,48.0974606439364,0.0
1934-02-01,Brackwede,1934,2,16.559058108621347,0.0
1935-02-01,Brackwede,1935,2,20.001532684496894,0.0
1936-02-01,Brackwede,1936,2,17.50076757752533,0.0
1932-02-01,Braunsberg,1932,2,51.79794520547945,0.0
1933-02-01,Braunsberg,1933,2,48.497736314995194,0.0
1934-02-01,Braunsberg,1934,2,2.8,0.0
1935-02-01,Braunsberg,1935,2,16.292590589507842,0.0
1936-02-01,Braunsberg,1936,2,38.454167997444905,0.0
1932-02-01,Bremerhaven,1932,2,82.7014118731409,0.0
1933-02-01,Bremerhaven,1933,2,69.6798493408663,0.0
1934-02-01,Bremerhaven,1934,2,57.424436425716834,0.0
1935-02-01,Bremerhaven,1935,2,59.39864209505335,0.0
1936-02-01,Bremerhaven,1936,2,31.893043983724084,0.0
1932-02-01,Breslau,1932,2,64.19980974625615,0.0
1933-02-01,Breslau,1933,2,49.617638360313684,0.0
1934-02-01,Breslau,1934,2,48.65844629955834,0.0
1935-02-01,Breslau,1935,2,52.72981054276073,0.0
1936-02-01,Breslau,1936,2,56.5986982731705,0.0
1932-02-01,Brieg,1932,2,59.59998537423672,0.0
1933-02-01,Brieg,1933,2,38.5429314830876,0.0
1934-02-01,Brieg,1934,2,29.06588266737939,0.0
1935-02-01,Brieg,1935,2,38.79975834060549,0.0
1936-02-01,Brieg,1936,2,57.80773228716092,0.0
1932-02-01,Bruchsal,1932,2,52.104208416833664,0.0
1933-02-01,Bruchsal,1933,2,39.22856460472892,0.0
1934-02-01,Bruchsal,1934,2,50.47765066635217,0.0
1935-02-01,Bruchsal,1935,2,40.38313723171525,0.0
1936-02-01,Bruchsal,1936,2,34.195605953224664,0.0
1932-02-01,Brühl,1932,2,48.70102032067221,0.0
1933-02-01,Brühl,1933,2,31.177574219181107,0.0
1934-02-01,Brühl,1934,2,21.63974398049375,0.0
