DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft,i
1932-02-01,Arnstadt,1932,2,73.19996312344428,0.0,35
1933-02-01,Arnstadt,1933,2,36.739170169987204,0.0,35
1934-02-01,Arnstadt,1934,2,27.420892540972442,0.0,35
1935-02-01,Arnstadt,1935,2,34.19966435342677,0.0,35
1936-02-01,Arnstadt,1936,2,35.19912909371315,0.0,35
1932-02-01,Arnswalde,1932,2,82.61507427104347,0.0,36
1933-02-01,Arnswalde,1933,2,56.33432626598914,0.0,36
1934-02-01,Arnswalde,1934,2,18.90631623569309,0.0,36
1935-02-01,Arnswalde,1935,2,50.602818814739344,0.0,36
1936-02-01,Arnswalde,1936,2,48.302207130730054,0.0,36
1932-02-01,Aschaffenburg,1932,2,31.00023507287259,0.0,37
1933-02-01,Aschaffenburg,1933,2,22.37599614304756,0.0,37
1934-02-01,Aschaffenburg,1934,2,16.030070200652258,0.0,37
1935-02-01,Aschaffenburg,1935,2,14.10150891632373,0.0,37
1936-02-01,Aschaffenburg,1936,2,14.903912622701506,0.0,37
1932-02-01,Aschersleben,1932,2,55.30903881765138,0.0,38
1933-02-01,Aschersleben,1933,2,43.627211074599735,0.0,38
1934-02-01,Aschersleben,1934,2,26.439113100650484,0.0,38
1935-02-01,Aschersleben,1935,2,21.4854667411962,0.0,38
1936-02-01,Aschersleben,1936,2,22.600846657103872,0.0,38
1932-02-01,Aue,1932,2,78.10047095761381,0.0,39
1933-02-01,Aue,1933,2,56.01364799545067,0.0,39
1934-02-01,Aue,1934,2,40.68150208623088,0.0,39
1935-02-01,Aue,1935,2,36.89395402742901,0.0,39
1936-02-01,Aue,1936,2,31.595270401240548,0.0,39
1932-02-01,Auerbach i. Vogtld.,1932,2,61.80036110394635,0.0,40
1933-02-01,Auerbach i. Vogtld.,1933,2,47.79713114754099,0.0,40
1934-02-01,Auerbach i. Vogtld.,1934,2,28.08215687273839,0.0,40
1935-02-01,Auerbach i. Vogtld.,1935,2,41.3923339968356,0.0,40
1936-02-01,Auerbach i. Vogtld.,1936,2,46.92127029510875,0.0,40
1932-02-01,Bad Homburg v. d. H.,1932,2,51.49715265446084,0.0,41
1933-02-01,Bad Homburg v. d. H.,1933,2,36.16777998435337,0.0,41
1934-02-01,Bad Homburg v. d. H.,1934,2,29.527091254752854,0.0,41
1935-02-01,Bad Homburg v. d. H.,1935,2,28.70699881376038,0.0,41
1936-02-01,Bad Homburg v. d. H.,1936,2,31.712976735883856,0.0,41
1932-02-01,Baden-Baden,1932,2,51.1790277960743,0.0,42
1933-02-01,Baden-Baden,1933,2,41.277413370436626,0.0,42
1934-02-01,Baden-Baden,1934,2,41.49336172761454,0.0,42
1935-02-01,Baden-Baden,1935,2,48.69335097585181,0.0,42
1936-02-01,Baden-Baden,1936,2,36.40080451053447,0.0,42
1932-02-01,Bamberg,1932,2,43.20236266038752,0.0,43
1933-02-01,Bamberg,1933,2,27.905638665132333,0.0,43
1934-02-01,Bamberg,1934,2,17.07044353335818,0.0,43
1935-02-01,Bamberg,1935,2,17.196061009921518,0.0,43
1936-02-01,Bamberg,1936,2,18.87001068809199,0.0,43
1932-02-01,Bautzen,1932,2,60.615835049500035,0.0,44
1933-02-01,Bautzen,1933,2,40.7752389268908,0.0,44
1934-02-01,Bautzen,1934,2,26.718832005343764,0.0,44
1935-02-01,Bautzen,1935,2,23.882017126546145,0.0,44
1936-02-01,Bautzen,1936,2,25.68872987477639,0.0,44
1932-02-01,Bayreuth,1932,2,37.29987509935279,0.0,45
1933-02-01,Bayreuth,1933,2,22.841796334237777,0.0,45
1934-02-01,Bayreuth,1934,2,12.5319414994835,0.0,45
1935-02-01,Bayreuth,1935,2,16.888888888888886,0.0,45
1936-02-01,Bayreuth,1936,2,17.70628087127858,0.0,45
1932-02-01,Beckum,1932,2,66.00319218852691,0.0,46
1933-02-01,Beckum,1933,2,53.72679164050587,0.0,46
1934-02-01,Beckum,1934,2,26.902716306517398,0.0,46
1935-02-01,Beckum,1935,2,18.200818601410784,0.0,46
1936-02-01,Beckum,1936,2,15.101256983240225,0.0,46
1932-02-01,Belgard a. d. Pers,1932,2,57.49979979178345,0.0,47
1933-02-01,Belgard a. d. Pers,1933,2,37.32539500801465,0.0,47
1934-02-01,Belgard a. d. Pers,1934,2,2.0645922430320014,0.0,47
1935-02-01,Belgard a. d. Pers,1935,2,38.913091634054496,0.0,47
1936-02-01,Belgard a. d. Pers,1936,2,26.600840026527152,0.0,47
1932-02-01,Bendorf,1932,2,88.80719744606752,0.0,48
1933-02-01,Bendorf,1933,2,44.065457413249206,0.0,48
1934-02-01,Bendorf,1934,2,26.700000000000003,0.0,48
1935-02-01,Bendorf,1935,2,26.404548520767083,0.0,48
1936-02-01,Bendorf,1936,2,32.009255688391825,0.0,48
1932-02-01,Bensberg,1932,2,47.79937124892827,0.0,49
1933-02-01,Bensberg,1933,2,29.531568228105908,0.0,49
1934-02-01,Bensberg,1934,2,20.350980681315438,0.0,49
1935-02-01,Bensberg,1935,2,17.405719021964362,0.0,49
1936-02-01,Bensberg,1936,2,25.498281786941583,0.0,49
1932-02-01,Bensheim,1932,2,45.90163934426229,0.0,50
1933-02-01,Bensheim,1933,2,28.650558685894374,0.0,50
1934-02-01,Bensheim,1934,2,17.817371937639198,0.0,50
1935-02-01,Bensheim,1935,2,28.984165200481527,0.0,50
1936-02-01,Bensheim,1936,2,38.61111111111111,0.0,50
1932-02-01,Berg.-Gladbach,1932,2,61.305445366029566,0.0,51
1933-02-01,Berg.-Gladbach,1933,2,51.244802885337876,0.0,51
1934-02-01,Berg.-Gladbach,1934,2,30.526109148017273,0.0,51
1935-02-01,Berg.-Gladbach,1935,2,22.58726899383984,0.0,51
1936-02-01,Berg.-Gladbach,1936,2,35.76488982264132,0.0,51
1932-02-01,Bergedorf,1932,2,61.797139425701495,0.0,52
1933-02-01,Bergedorf,1933,2,42.939936775553214,0.0,52
1934-02-01,Bergedorf,1934,2,51.34260923140114,0.0,52
1935-02-01,Bergedorf,1935,2,38.827501534683854,0.0,52
1936-02-01,Bergedorf,1936,2,32.2993447993448,0.0,52
1932-02-01,Bernau,1932,2,92.68733072524827,0.0,53
1933-02-01,Bernau,1933,2,67.70693211371177,0.0,53
1934-02-01,Bernau,1934,2,42.282771224455885,0.0,53
1935-02-01,Bernau,1935,2,36.93559096945551,0.0,53
1936-02-01,Bernau,1936,2,24.91280518186348,0.0,53
1932-02-01,Bernburg,1932,2,43.19827538555083,0.0,54
1933-02-01,Bernburg,1933,2,29.369282619162252,0.0,54
1934-02-01,Bernburg,1934,2,20.0062682824906,0.0,54
1935-02-01,Bernburg,1935,2,24.00750723353231,0.0,54
1936-02-01,Bernburg,1936,2,16.41838019303399,0.0,54
1932-02-01,Beuel,1932,2,57.48928608759277,0.0,55
1933-02-01,Beuel,1933,2,32.49820310093439,0.0,55
1934-02-01,Beuel,1934,2,18.392784758816376,0.0,55
1935-02-01,Beuel,1935,2,29.101856497742098,0.0,55
1936-02-01,Beuel,1936,2,29.50474183350896,0.0,55
1932-02-01,Beuthen,1932,2,47.30141570733615,0.0,56
1933-02-01,Beuthen,1933,2,30.406701624248626,0.0,56
1934-02-01,Beuthen,1934,2,25.044451628546028,0.0,56
1935-02-01,Beuthen,1935,2,27.42683193728736,0.0,56
1936-02-01,Beuthen,1936,2,24.593265228906546,0.0,56
1932-02-01,Biberach,1932,2,39.79703512088349,0.0,57
1933-02-01,Biberach,1933,2,27.560594214229866,0.0,57
1934-02-01,Biberach,1934,2,16.205266711681297,0.0,57
1935-02-01,Biberach,1935,2,15.61653728109767,0.0,57
1936-02-01,Biberach,1936,2,13.777577667717246,0.0,57
1932-02-01,Bielefeld,1932,2,68.39917749485934,0.0,58
1933-02-01,Bielefeld,1933,2,39.91530806690663,0.0,58
1934-02-01,Bielefeld,1934,2,26.81982831340247,0.0,58
1935-02-01,Bielefeld,1935,2,27.706660701117713,0.0,58
1936-02-01,Bielefeld,1936,2,25.69764941359403,0.0,58
1932-02-01,Billstedt,1932,2,95.59456203751506,0.0,59
1933-02-01,Billstedt,1933,2,68.32399057600131,0.0,59
1934-02-01,Billstedt,1934,2,17.309941520467838,0.0,59
1935-02-01,Billstedt,1935,2,60.389105058365764,0.0,59
1936-02-01,Billstedt,1936,2,51.90554126724339,0.0,59
1932-02-01,Bingen,1932,2,26.4963503649635,0.0,60
1933-02-01,Bingen,1933,2,16.246136151247214,0.0,60
1934-02-01,Bingen,1934,2,4.690831556503198,0.0,60
1935-02-01,Bingen,1935,2,20.398045187336212,0.0,60
1936-02-01,Bingen,1936,2,30.804173468663496,0.0,60
1932-02-01,Bitterfeld,1932,2,37.50193708352704,0.0,61
1933-02-01,Bitterfeld,1933,2,25.895931332137142,0.0,61
1934-02-01,Bitterfeld,1934,2,13.585570547595864,0.0,61
1935-02-01,Bitterfeld,1935,2,14.563786584511972,0.0,61
1936-02-01,Bitterfeld,1936,2,7.3718098259693,0.0,61
1932-02-01,Blankenburg,1932,2,60.894780447390225,0.0,62
1933-02-01,Blankenburg,1933,2,30.039840637450197,0.0,62
1934-02-01,Blankenburg,1934,2,5.499612703330751,0.0,62
1935-02-01,Blankenburg,1935,2,19.705584547083106,0.0,62
1936-02-01,Blankenburg,1936,2,18.318459370596525,0.0,62
1932-02-01,Blumenthal,1932,2,70.81076711664376,0.0,63
1933-02-01,Blumenthal,1933,2,34.784594306591565,0.0,63
1934-02-01,Blumenthal,1934,2,23.40844454167578,0.0,63
1935-02-01,Blumenthal,1935,2,18.907869762009053,0.0,63
1936-02-01,Blumenthal,1936,2,14.301349872309375,0.0,63
1932-02-01,Bobrek,1932,2,35.49899531145345,0.0,64
1933-02-01,Bobrek,1933,2,22.55198231924586,0.0,64
1934-02-01,Bobrek,1934,2,12.225605599236468,0.0,64
1935-02-01,Bobrek,1935,2,12.500568207645802,0.0,64
1936-02-01,Bobrek,1936,2,13.903403153255486,0.0,64
1932-02-01,Bocholt,1932,2,62.70856047840882,0.0,65
1933-02-01,Bocholt,1933,2,40.04982871379632,0.0,65
1934-02-01,Bocholt,1934,2,17.884334039948648,0.0,65
1935-02-01,Bocholt,1935,2,14.067751241709544,0.0,65
1936-02-01,Bocholt,1936,2,18.99035599476128,0.0,65
1932-02-01,Bochum,1932,2,50.29465037373403,0.0,66
1933-02-01,Bochum,1933,2,27.404580152671755,0.0,66
1934-02-01,Bochum,1934,2,15.650495546116582,0.0,66
1935-02-01,Bochum,1935,2,13.796230531175485,0.0,66
1936-02-01,Bochum,1936,2,13.999878484380446,0.0,66
1932-02-01,Bonn,1932,2,43.89672389628591,0.0,67
1933-02-01,Bonn,1933,2,28.731362804080565,0.0,67
1934-02-01,Bonn,1934,2,22.428335645358903,0.0,67
1935-02-01,Bonn,1935,2,27.992317023857662,0.0,67
1936-02-01,Bonn,1936,2,28.481620359608254,0.0,67
1932-02-01,Borna,1932,2,45.40481400437637,0.0,68
1933-02-01,Borna,1933,2,30.22735101619015,0.0,68
1934-02-01,Borna,1934,2,15.627583925913676,0.0,68
1935-02-01,Borna,1935,2,21.20141342756184,0.0,68
1936-02-01,Borna,1936,2,26.03490552430405,0.0,68
1932-02-01,Bottrop,1932,2,57.59729354783751,0.0,69
1933-02-01,Bottrop,1933,2,33.9500308744597,0.0,69
1934-02-01,Bottrop,1934,2,26.334818408714515,0.0,69
1935-02-01,Bottrop,1935,2,34.95731955171012,0.0,69
1936-02-01,Bottrop,1936,2,38.79335301951248,0.0,69
1932-02-01,Brackwede,1932,2,88.50372603198527,0.0,70
